pcode,country,buffer.km,N.in.buffer,dist.to.point,name
CF118EJ,W92000004,20,153,0.572813975752163,GRANGE MEDICAL PRACTICE
NP181BA,W92000004,20,112,0.11848427134232,ISCA MEDICAL CENTRE
CF69AP,W92000004,20,123,2.43676141579226,ST ATHAN MEDICAL CENTRE
CF440DJ,W92000004,20,111,2.51276772030502,PARC SURGERY
CF23PU,W92000004,20,175,0.324561841155835,CLIFTON SURGERY
LL165PF,W92000004,20,28,4.23451320131308,BRONYFFYNNON SURGERY
LL142ET,W92000004,20,53,0.168425330651706,THE SURGERY
SA108DU,W92000004,20,109,0.947358085995157,CASTLE SURGERY
SY234DQ,W92000004,20,12,4.74015590312402,LLANILAR HEALTH CENTRE
LL346NE,W92000004,20,36,3.10428101165255,PLAS MENAI SURGERY
SA420LU,W92000004,20,8,0.313482596052394,NEWPORT SURGERY
CF79XP,W92000004,20,174,3.69631210640652,OLD SCHOOL SURGERY
CF372SR,W92000004,20,215,0.0335068651120933,DR J HARD'S PRACTICE
CF143HW,W92000004,20,191,0.746856545907869,CATHEDRAL VIEW MEDICAL CENTRE
NP206WR,W92000004,20,160,0.200268606086148,GRANGE CLINIC
LD39TL,W92000004,20,8,7.44137155637224,BRECON CLINIC
NP234TN,W92000004,20,99,0.392870144339978,DR DL DAVIES' PRACTICE
SA127BT,W92000004,20,104,1.00564322788513,ROSEDALE MEDICAL PRACTICE
CF87FA,W92000004,20,264,0.544305117153977,CAERPHILLY LHB
SA327YF,W92000004,20,19,0.745291773190788,2 MORFA LANE
CF838AF,W92000004,20,237,0.109916394745663,DR N RAJAN'S PRACTICE
LL652GB,W92000004,20,8,0.75961090740231,THE LIGHTHOUSE CENTRE
SA152HT,W92000004,20,80,1.14089524317381,AVENUE VILLA SURGERY
SA625SQ,W92000004,20,15,7.71596544586626,THE HEALTH CENTRE
NP441RY,W92000004,20,139,0,CLARK AVENUE SURGERY
CH87BB,W92000004,20,61,0.241917345136959,PENDRE SURGERY
LL183PP,W92000004,20,43,0.712181019902084,ROYAL ALEXANDRA HOSPITAL
SA328JH,W92000004,20,28,6.46993190947437,MEDDYGFA PENYGROES
CF110SF,W92000004,20,136,1.24331588418282,ALBERT ROAD SURGERY
CF481PW,W92000004,20,124,1.80290763441515,COMMUNITY CARDIOLOGY CLINIC C
SA153DU,W92000004,20,79,0.669550363330465,MEDDYGFA GELLI-ONN
LL301PG,W92000004,20,30,0.679764706512289,CRAIG Y DON MEDICAL PRACTICE
CF48RF,W92000004,20,192,1.27809668531307,RADYR MEDICAL CENTRE
CF951AF,W92000004,20,168,0.120679017367631,BRO TAF DEPUTY
SY161NG,W92000004,20,9,0.593867269136164,NEWTOWN MEDICAL CENTRE
LL219LE,W92000004,20,28,5.72080705781855,CORWEN HEALTH CENTRE
SA111WT,W92000004,20,108,0.418502057314963,VICTORIA GARDENS SURGERY
LL452PQ,W92000004,20,7,11.4029246906251,MINFOR SURGERY
SA678HG,W92000004,20,23,3.55322567810206,NARBERTH SURGERY
SA726JR,W92000004,20,22,0.458978424498533,DR MD THOMAS' PRACTICE
SA65HY,W92000004,20,112,0.755761745689389,Clydach War Memorial Hospital
LD38RP,W92000004,20,5,11.2947446946316,TY HENRY VAUGHAN
LL680SD,W92000004,20,13,8.12098477136273,CANOLFAN IECHYD AMLWCH
CF831UD,W92000004,20,240,0.456017520633483,MARKET STREET PRACTICE
CF11DA,W92000004,20,167,0.667829869541984,PRIMECARE V OF G OOH
NP64YW,W92000004,20,37,1.36759322924775,GRAY HILL SURGERY
CF238NZ,W92000004,20,209,0.903086856061668,LLANRUMNEY MEDICAL GROUP
CF41NA,W92000004,20,186,0.384456234319808,BISHOPS ROAD MEDICAL CENTRE
CH48RS,W92000004,20,54,4.12434030344621,MARCHES MEDICAL PRACTICE
CF336BG,W92000004,20,71,0.795404678850433,HEATHBRIDGE HOUSE
SY186SJ,W92000004,20,3,4.87233625666087,THE ARWYSTLI MEDICAL PRACTICE
SY226NP,W92000004,20,3,11.4693114569537,WELSHPOOL HEALTH CENTRE
CF482TS,W92000004,20,111,2.92128576650677,MORLAIS MEDICAL PRACTICE
LL197PY,W92000004,20,35,0.321263544210047,SEABANK SURGERY
SA733BX,W92000004,20,19,0.860307654932949,BARLOW HOUSE SURGERY
SA27TB,W92000004,20,100,2.65939673562532,ESTUARY GROUP PRACTICE
NP32QF,W92000004,20,159,1.34232382316722,CWM CALON
CH40JS,W92000004,20,68,3.21184939864875,DR GR HOGGINS' PRACTICE
SA15YA,W92000004,20,109,1.12811564489825,BONYMAEN CLINIC
SA54DG,W92000004,20,102,0.900294251658935,FFORESTFACH MEDICAL GROUP
CH75YR,W92000004,20,69,0.180419164438171,LOCUM S
CF144JN,W92000004,20,199,0.523714371605374,ST. ISAN ROAD SURGERY
NP182NN,W92000004,20,79,1.34081647582909,UNDERWOOD HEALTH CENTRE
CF59ER,W92000004,20,165,0.542347731672944,MEDDYGFA LANSDOWNE SURGERY
CF448LA,W92000004,20,117,0.175887350554398,PARC SURGERY
NP235US,W92000004,20,107,1.00640174680805,GLAN RHYD SURGERY
NP79FF,W92000004,20,76,1.26635146993784,TUDOR GATE SURGERY
LL219DQ,W92000004,20,16,3.323498563439,CORWEN HEALTH CENTRE
NP90GN,W92000004,20,153,0.38102460842766,DR JD LOCUM'S PRACTICE
CF448XT,W92000004,20,138,0.557003720282657,DR SK CHATTOPADHYAY'S PRACTICE
CF21HR,W92000004,20,167,0.434054663386465,CONNECT2OOHCARDIFF OOH
NP22AN,W92000004,20,247,0.731381178282535,AVICENNA MEDICAL CENTRE
CF402LW,W92000004,20,141,0.585682892734603,DARES UNIT
LL571HA,W92000004,20,33,0.68924176628134,FELINHELI&PORTHAETHWY SU
CF103DW,W92000004,20,184,0.611494563073678,CATHAYS SURGERY
CF78DE,W92000004,20,211,0.958021411122892,NEWPARK SURGERY
CF158AE,W92000004,20,190,0.380381489977492,RADYR MEDICAL CENTRE
CF24SH,W92000004,20,181,0.272597737124945,MEDDYGFA ALBANY SURGERY
NP448TP,W92000004,20,128,0.372049436792974,LLANYRAVON SURGERY
CF363XR,W92000004,20,41,0.152716283687197,DR TD EALES SURGERY
LL645UX,W92000004,20,18,3.11337485821078,VALLEY MEDICAL CENTRE
SA48RE,W92000004,20,98,0.499271252095703,TALYBONT SURGERY
NP166AR,W92000004,20,68,7.04696668076717,ST PETERS HOSPITAL
SA133NY,W92000004,20,103,0.959732957938705,CYMMER SURGERY
LL499YH,W92000004,20,11,3.23644799923107,MEDDYG CARE
CF728TF,W92000004,20,208,1.67014328566195,NEWPARK SURGERY
CF829BP,W92000004,20,266,1.51886638053622,OAKFIELD SURGERY
CF241RS,W92000004,20,178,0.754445040687754,ROATHWELL SURGERY
CF69NH,W92000004,20,80,2.27354144544108,ERYL SURGERY
CF47TP,W92000004,20,229,1.69383678590495,THE MEDICAL CENTRE
NP263YX,W92000004,20,60,4.65048133078155,GRAY HILL SURGERY
LL651YE,W92000004,20,7,1.12726937122304,CAMBRIA SURGERY
SA433NS,W92000004,20,7,4.05863968472146,CARDIGAN HEALTH CENTRE
CF375BT,W92000004,20,221,0.555481038230817,TAFF VALE PRACTICE
LL476YT,W92000004,20,6,3.02568997985055,BRONMEIRION
CF372BL,W92000004,20,216,0.0589955285587606,DR J HARD'S PRACTICE
SA991ZU,W92000004,20,106,1.08333151116054,CLASE SURGERY
CF66ST,W92000004,20,119,0.0493016122409185,CRIME REDUCTION
LL572QF,W92000004,20,33,0.743775713564641,NORTH WALES GP OOH SERVICE
SY225BB,W92000004,20,3,0.265687085602121,LLANFYLLIN MEDICAL CENTRE
SA29AQ,W92000004,20,94,0.182068543390499,SKETTY & KILLAY MEDICAL CENTRE
SA714LJ,W92000004,20,22,0.309105451106858,DR RW HANNAFORD'S PRACTICE
SA626ED,W92000004,20,22,4.97214241469229,"OOH OFFICE, 1ST FLR"
CF381AE,W92000004,20,226,0.487166075079066,PARC CANOL SURGERY
SA312BR,W92000004,20,19,0.682478936839399,FURNACE HOUSE SURGERY
CF239NS,W92000004,20,192,0.691573903913478,LLANEDEYRN HEALTH CENTRE
CH65XA,W92000004,20,45,0.339300359007203,EYTON PLACE SURGERY
CF23QN,W92000004,20,175,0.0924796254964751,CLIFTON SURGERY
NP21LS,W92000004,20,217,0.388629817691901,SUNNYBANK HEALTH CENTRE
CF372TU,W92000004,20,216,0.121403530998527,DR J HARD'S PRACTICE
CH76TZ,W92000004,20,65,1.54493779671409,BRADLEY'S PRACTICE
NP54EE,W92000004,20,12,0.572840712092834,Monnow Vale Hospital
SA92GR,W92000004,20,42,0.265260063513082,AMMAN TAWE PARTNERSHIP
CF628YG,W92000004,20,122,0.840108482295944,HIGHLIGHT PARK MED PRACTICE
NP47PQ,W92000004,20,127,0.965194824451195,THE SURGERY
SA43EX,W92000004,20,100,0.234333465046697,ESTUARY GROUP PRACTICE
NP46HZ,W92000004,20,132,0.264098268250086,KALEIDOSCOPE COMM PRESCRIBING
CF82DG,W92000004,20,255,0.313396370536968,MEDDYGFA TRIDWR
NP35QX,W92000004,20,104,1.24336019373163,DR DL DAVIES' PRACTICE
SA131ZH,W92000004,20,101,1.40492340814645,MOUNT SURGERY
CH51TD,W92000004,20,59,0.184894041675855,QUEENSFERRY MEDICAL PRACTICE
LL163EQ,W92000004,20,46,0.595959513251507,THE LODGE
CF838BW,W92000004,20,234,0.504596049411951,TY BRYN SURGERY
SY226RG,W92000004,20,3,11.1880830585861,WELSHPOOL HEALTH CENTRE
SA65RN,W92000004,20,110,1.27724146101116,Clydach War Memorial Hospital
LL573EP,W92000004,20,33,1.18808110951238,CANOLFAN FEDDYGOL YR HEN
SA313AN,W92000004,20,19,0.236492802140316,2 MORFA LANE
NP77AX,W92000004,20,62,0.273362942978498,OLD STATION SURGERY
CF319JJ,W92000004,20,68,0.625244862166879,ASHFIELD SURGERY
NP16AZ,W92000004,20,210,0.427148262016575,WELLSPRING MEDICAL CENTRE
LL298RZ,W92000004,20,40,0.149105654935198,RHOSLAN SURGERY
SA109BU,W92000004,20,55,1.03613737361505,St John Ambulance - Not manned 24/7
NP64JB,W92000004,20,38,1.02724739463287,GRAY HILL SURGERY
NP16LE,W92000004,20,208,0.29042761907348,WELLSPRING MEDICAL CENTRE
SA131AQ,W92000004,20,105,1.54366460007626,REHAB TEAM PCP
SA446EH,W92000004,20,9,8.87432639101063,THE SURGERY
SA151XX,W92000004,20,80,0.299891957492252,TY ELLI GROUP PRACTICE
NP202XB,W92000004,20,169,1.08799933140588,ST DAVID'S CLINIC
SA112NF,W92000004,20,108,0.479381025879706,DR J LETHBRIDGE'S PRACTICE
NP223NL,W92000004,20,127,0.287231127459381,HEALTH CENTRE
NP64AD,W92000004,20,48,0.619465958761273,GRAY HILL SURGERY
LL151JB,W92000004,20,52,0.463085685452073,PLAS MEDDYG
SA129SR,W92000004,20,109,3.0433472484889,NPT COMMUNITY RESOURCE
NP115YE,W92000004,20,195,1.01411461780824,NORTH CELYNEN PRACTICE
NP235NA,W92000004,20,110,0.503777789785986,GLAN RHYD SURGERY
CF21ED,W92000004,20,166,0.166076026222674,HMP CARDIFF
NP92YD,W92000004,20,168,0.33681831994399,BELLEVUE SURGERY
NP65XF,W92000004,20,18,0.325028886782338,VAUXHALL SURGERY
CF434EB,W92000004,20,123,2.13542185304124,HOREB SURGERY
NPT1DT,W92000004,20,172,0.24561167077382,DR MK BOSE'S PRACTICE
CF628EL,W92000004,20,119,0.604808529882273,RAVENSCOURT SURGERY
NP443YH,W92000004,20,136,0.670967915268346,NEW CHAPEL STREET SURGERY
LL260EB,W92000004,20,26,0.71279128280891,RURAL SOUTH CLINIC
SA126AR,W92000004,20,103,1.22000337584019,REHAB TEAM PCP
NP17HW,W92000004,20,248,2.9210266136297,TY BRYN SURGERY
NP203GW,W92000004,20,184,0.0776679855344771,DR AB UHB02'S PRACTICE
CF315BN,W92000004,20,63,1.10868263506666,NEWCASTLE SURGERY
SA431BW,W92000004,20,7,0.253521773301607,CARDIGAN HEALTH CENTRE
CF729ZG,W92000004,20,183,2.45530482885667,OLD SCHOOL SURGERY
HR35DN,W92000004,20,4,10.6973711183961,HAYGARTH MEDICAL CENTRE
CF355HE,W92000004,20,72,1.33945742394153,NORTH COURT
SA126YW,W92000004,20,107,0.254991834180427,REHAB TEAM PCP
NP235PG,W92000004,20,108,0.376797319483018,GLAN RHYD SURGERY
CF237XH,W92000004,20,199,0.530093901161366,ST. DAVIDS MEDICAL CENTRE
CF434DJ,W92000004,20,124,2.33679125313294,HOREB SURGERY
LL680RF,W92000004,20,13,7.54389830855186,CANOLFAN IECHYD AMLWCH
SA54BX,W92000004,20,103,1.65724208786805,CHERITON MEDICAL CENTRE
CF374DA,W92000004,20,216,0,DR GE DAVIES' PRACTICE
LL181SG,W92000004,20,44,0.316908218411551,SUBSTANCE MISUSE SERVICE
NP63EU,W92000004,20,62,4.4651955119769,UNDERWOOD HEALTH CENTRE
LL588DY,W92000004,20,38,0.214149353717149,THE HEALTH CENTRE
CF44YT,W92000004,20,195,0.550370778314834,OUT OF HOURS SERVICE
SA111PT,W92000004,20,110,0.138679052040336,ALFRED ST PRIMARY CARE CENTRE
NP202JU,W92000004,20,166,0.854730404144551,ST DAVID'S CLINIC
NPT6BL,W92000004,20,184,0.447365578202484,BETTWS HEALTH CENTRE
NP76WX,W92000004,20,63,0.249786663738217,TUDOR GATE SURGERY
NP19SW,W92000004,20,163,2.50968429879269,ST. BRIDES MEDICAL CENTRE
CF149HE,W92000004,20,211,0.73843255059832,NORTH CARDIFF MEDICAL CENTRE
NP43EA,W92000004,20,174,1.14666279558275,BETTWS HEALTH CENTRE
NP113GE,W92000004,20,188,1.25952001450576,CROWN STREET SURGERY
SA20PZ,W92000004,20,92,0.017074199579383,UPLANDS & MUMBLES SURGERY
CF24LL,W92000004,20,184,0.130405452861195,CATHAYS SURGERY
SA42EP,W92000004,20,102,0.896149499786,TY'R FELIN SURGERY
SA182NZ,W92000004,20,29,4.46784560025456,MEDDYGFA TEILO
NP166JL,W92000004,20,20,2.18594549939129,MONMOUTH LHB
SA612NG,W92000004,20,22,0.567858788568431,UNIT 4 MERLINS COURT
LL120SA,W92000004,20,67,0.265468760677979,ALYN FAMILY DOCTORS
NP65PT,W92000004,20,18,0.164756772577106,VAUXHALL SURGERY
LL116QG,W92000004,20,66,0.530559797463429,FORGE ROAD SURGERY
NP443LD,W92000004,20,140,0.307732203852965,OAK STREET SURGERY
NP98YF,W92000004,20,157,0.404715726316923,THE RUGBY SURGERY
SA623JA,W92000004,20,21,8.82331342890128,SAINT THOMAS SURGERY
CH79XA,W92000004,20,69,0.98032421208665,LOCUM S
SY210QH,W92000004,20,2,10.6963759427574,CAEREINION HEALTH CENTRE
NP18GG,W92000004,20,238,0.24230308394605,TY BRYN SURGERY
CF140BG,W92000004,20,208,0.978900873094234,LLANISHEN COURT SURGERY
LL547HE,W92000004,20,32,2.60448363360444,LIVERPOOL HOUSE
NP183RD,W92000004,20,135,0.57430689545173,WENTWOOD WARD
CH87XX,W92000004,20,58,1.98203204146488,PENNANT SURGERY
SA991BH,W92000004,20,106,1.08333151116054,CLASE SURGERY
NP113BW,W92000004,20,193,1.34192573546969,CROWN STREET SURGERY
NP197NX,W92000004,20,131,1.08595016250396,ST JULIANS MEDICAL CENTRE
CF119WB,W92000004,20,149,0.630271493251505,GRANGE MEDICAL PRACTICE
LL553ET,W92000004,20,28,1.28122064867174,THE SURGERY
CF143HL,W92000004,20,188,0.640253432550127,CATHEDRAL VIEW MEDICAL CENTRE
NP133AB,W92000004,20,116,0.772326176958148,BLAINA MEDICAL PRACTICE
CF300BR,W92000004,20,189,0.822256185567509,LLANRUMNEY MEDICAL GROUP
NP20HZ,W92000004,20,175,1.5498915773131,MARKHAM MEDICAL CENTRE
CF241XG,W92000004,20,174,0.358365985232806,ROATHWELL SURGERY
NPT3GY,W92000004,20,183,0.0509100412561765,DR AB UHB02'S PRACTICE
LL302EB,W92000004,20,27,0.728039604448921,ST DAVIDS HOSPICE
SA114AY,W92000004,20,108,1.2047650284552,DR G LOCUM'S PRACTICE
LD33BY,W92000004,20,7,1.29640758900792,TY HENRY VAUGHAN
NP123LP,W92000004,20,209,0.578697533250007,SUNNYBANK HEALTH CENTRE
CF82AP,W92000004,20,241,0.309753575365263,LOCUM D
CF453ST,W92000004,20,156,0.0976917187001847,PENRHIWCEIBER MEDICAL CENTRE
CF426TH,W92000004,20,122,0.383516848829274,FOREST VIEW MEDICAL CENTRE
LL301UY,W92000004,20,27,0.487611003852575,CRAIG Y DON MEDICAL PRACTICE
CF65AE,W92000004,20,125,0.231620161019292,HIGHLIGHT PARK MED PRACTICE
CF243PW,W92000004,20,178,0.479227903098655,CLIFTON SURGERY
CH53QU,W92000004,20,63,0.146450451567158,THE STABLES MEDICAL
NP94RG,W92000004,20,168,0.170340618388916,ST. PAUL'S CLINIC
CH75HN,W92000004,20,60,3.86352990949219,
CF53JT,W92000004,20,168,0,FAIRWATER HEALTH CENTRE
CH87BP,W92000004,20,61,0.529520690649336,PENDRE SURGERY
NP44RZ,W92000004,20,178,0.914392659171107,FAIRWATER MEDICAL CENTRE
CF77QN,W92000004,20,29,6.0968657352489,ERYL SURGERY
NP10AB,W92000004,20,192,1.40864680889417,THE ROGERSTONE PRACTICE
CF312QP,W92000004,20,75,0.858039237202157,OAK TREE SURGERY
NP183TJ,W92000004,20,111,0.705602691319567,WENTWOOD WARD
NP259BB,W92000004,20,11,0.363088127516794,DIXTON ROAD SURGERY
CF141DT,W92000004,20,194,0.223357861022428,BISHOPS ROAD MEDICAL CENTRE
CF39XF,W92000004,20,204,2.05150345005484,BRYNDERWEN SURGERY
SA132RF,W92000004,20,119,2.89083470961974,BRON-Y-GARN SURGERY
LL536RL,W92000004,20,11,6.38594226442843,TREFLAN
SA35YH,W92000004,20,91,0.361486043206459,KINGS ROAD SURGERY
CF49AS,W92000004,20,211,0.36432435147172,NORTH CARDIFF MEDICAL CENTRE
CF447LF,W92000004,20,124,0.422775182890195,74 MONK STREET
CF56AD,W92000004,20,139,2.44105565203399,VALE FAMILY PRACTICE
NPT6GT,W92000004,20,168,0.120479262524086,DR SK JETHWA'S PRACTICE
SA35RR,W92000004,20,93,1.0289851379337,THE MUMBLES MEDICAL PRACTICE
LL228HZ,W92000004,20,52,2.80748462502273,GWRYCH MEDICAL CENTRE
NP206GR,W92000004,20,171,0.326181549796638,DR SK JETHWA'S PRACTICE
CF13UN,W92000004,20,175,0.649469795282676,CATHAYS SURGERY
SA91UF,W92000004,20,37,3.12523176803482,St John Ambulance - Not manned 24/7
CF478TB,W92000004,20,129,0.712537823876264,SUBSTANCE MISUSE SUPPORT
CH65DS,W92000004,20,44,0.473332949063831,ALLT GOCH MEDICAL CENTRE
SA83EP,W92000004,20,102,1.36245089710953,PONTARDAWE PRIMARY CARE CENTRE
LL113AZ,W92000004,20,60,8.50860764051872,BRYN DARLAND SURGERY
NP264QH,W92000004,20,48,1.06426312166018,GRAY HILL SURGERY
NP254RH,W92000004,20,13,3.47336110678065,Monnow Vale Hospital
CF119FG,W92000004,20,168,0.109382160013944,PRIMECARE V OF G OOH
SA27TS,W92000004,20,100,2.0779684695679,DR AW JONES' PRACTICE
SA350BA,W92000004,20,10,4.95139992677198,DR BS VIRDI'S PRACTICE
CF643DR,W92000004,20,127,0.502723619144632,STATION ROAD SURGERY
NP51LL,W92000004,20,85,3.3740471830027,THE SURGERY JAMES HOUSE
SA42DE,W92000004,20,102,0.572184929276404,TY'R FELIN SURGERY
CF55DT,W92000004,20,151,0.702015336590343,THE CAERAU LANE SURGERY
NP203YQ,W92000004,20,172,0.443709074772872,CRI GWENT DRR
CF41JL,W92000004,20,182,0.538024345188296,CATHEDRAL VIEW MEDICAL CENTRE
CF398NA,W92000004,20,171,1.17205875519144,DR SA BISHARA'S PRACTICE
SY231RQ,W92000004,20,9,0.360703713149375,YSTWYTH MEDICAL GROUP
CF22YD,W92000004,20,175,0.618649000914377,CLOUGHMORE MEDICAL CENTRE
CF399NG,W92000004,20,168,0.813300883580741,PORTH FARM SURGERY
CF148AE,W92000004,20,206,0.604037309016242,ST. ISAN ROAD SURGERY
NP90HA,W92000004,20,148,0.850027465723538,DR JD LOCUM'S PRACTICE
LL139YF,W92000004,20,53,5.8211190182426,HMP BERWYN
NP246NG,W92000004,20,164,0.20843502231109,WHITE ROSE MEDICAL CENTRE
CF39LA,W92000004,20,198,0.368018011559823,LLANRUMNEY MEDICAL GROUP
NP236QW,W92000004,20,114,1.10639691257231,GLYN EBWY SURGERY
NP116GQ,W92000004,20,210,0.388730191157142,RISCA SURGERY
CF68LT,W92000004,20,120,1.00642096307633,HIGHLIGHT PARK MED PRACTICE
SA106SA,W92000004,20,107,1.14119524913238,LLWYN BRWYDRAU SURGERY
CF21TJ,W92000004,20,172,0.276991540407995,CONNECT2OOHCARDIFF OOH
NP132LG,W92000004,20,160,1.26969308393105,CWM CALON
CF401DQ,W92000004,20,143,0.731658023837031,DE WINTON FIELD PRACTICE
NP197HT,W92000004,20,148,0.243363506149718,ST JULIANS MEDICAL CENTRE
LL146AB,W92000004,20,39,0.0525453974610852,THE MEDICAL CENTRE
NP20BH,W92000004,20,205,1.2813456997506,SUNNYBANK HEALTH CENTRE
CF145JF,W92000004,20,210,0.4492955144164,THE OLD SURGERY CLINIC
CH65AP,W92000004,20,47,0.181991652252138,EYTON PLACE SURGERY
CH74NZ,W92000004,20,71,2.63111757490903,LEESWOOD SURGERY
NP19JY,W92000004,20,201,1.76118690863368,THE ROGERSTONE PRACTICE
CH52HR,W92000004,20,57,2.01714017105077,QUEENSFERRY MEDICAL PRACTICE
LL538YN,W92000004,20,3,2.71584223140804,TY DOCTOR ISFRYN
CF48DD,W92000004,20,187,0.942613765986106,RADYR MEDICAL CENTRE
NP61YF,W92000004,20,116,0.426943583795461,WENTWOOD WARD
CF340NB,W92000004,20,95,1.72204959061416,LLYNFI SURGERY
LL199NA,W92000004,20,36,0.612876121596113,HEALTHY PRESTATYN
SA328LH,W92000004,20,32,3.0583364501688,MEDDYGFA TYWI
CF105HE,W92000004,20,164,0.268086561470944,BUTETOWN MEDICAL PRACTICE
LL113PZ,W92000004,20,65,0.47230506646547,BRYN DARLAND SURGERY
NP17JN,W92000004,20,258,3.36217208607371,AVICENNA MEDICAL CENTRE
CF355TA,W92000004,20,76,1.76061267802622,NORTH COURT
LL520SJ,W92000004,20,11,0.617969796821898,THE HEALTH CENTRE
SA420SB,W92000004,20,8,4.75489962334654,NEWPORT SURGERY
LL138SQ,W92000004,20,64,0.569789753737928,BRYNCABANAU
LL402DR,W92000004,20,3,4.46099159763441,THE SURGERY
LD37LN,W92000004,20,7,0.390454720660573,BRECON CLINIC
NP79LJ,W92000004,20,73,0.963835797399956,TUDOR GATE SURGERY
SA183JX,W92000004,20,41,3.38730364689156,MEDDYGFA PENYGROES
NP49DD,W92000004,20,101,1.15800019307684,BLAENAVON MEDICAL PRACTICE
SA312AQ,W92000004,20,18,1.86859068171932,ST PETER'S SURGERY
NP47NR,W92000004,20,129,1.50995091645556,THE SURGERY
CF398ZY,W92000004,20,173,1.81077424614081,DR SA BISHARA'S PRACTICE
SA48LR,W92000004,20,104,0.797759797986801,TALYBONT SURGERY
SA445YJ,W92000004,20,11,5.17644371949416,LLYNYFRAN SURGERY
NP52AF,W92000004,20,52,2.99484382748819,DR C PRACTICE01
NP70WZ,W92000004,20,63,0.249786663738217,TUDOR GATE SURGERY
LL185AU,W92000004,20,42,0,KINMEL BAY MEDICAL CENTRE
CF478HE,W92000004,20,129,0.117113949419868,DR A RAHIM'S PRACTICE
SA678PY,W92000004,20,7,6.94714601055993,SAUNDERSFOOT MEDICAL CENTRE
LL207PU,W92000004,20,41,1.93846543652332,CRANE MEDICAL CENTRE
NP17QQ,W92000004,20,234,3.12541369094622,RISCA SURGERY
NP76DD,W92000004,20,51,0.953545646620892,OLD STATION SURGERY
CF16UE,W92000004,20,162,0.340058696232921,BUTETOWN MEDICAL PRACTICE
CH51RD,W92000004,20,58,0.247162597642382,Deeside Community Hospital
NP41AA,W92000004,20,141,0.395225054811253,NEW CHAPEL STREET SURGERY
LL290BX,W92000004,20,40,0.103864737273302,THE DAWN CENTRE
NP113DL,W92000004,20,199,0.643609434398797,NORTH CELYNEN PRACTICE
CF42EF,W92000004,20,187,0.393343944514387,LLANDAFF NORTH MED CENTRE
